Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X -108640  Y 20083
X -110961  Y 20097
X -107520  Y 22634
X -109922  Y 22661
X -92200  Y 24500
X -97200  Y 24500
X -108667  Y 24914
X -106441  Y 24927
X -110961  Y 24941
X -93900  Y 26700
X -103109  Y 27451
X -87239  Y 28733
X -101158  Y 33458
X -93900  Y 46709
X -95500  Y 61700
X -61904  Y 135207
X -83500  Y 131200
X -76456  Y 130606
X -83600  Y 128900
X -84066  Y 126363
X -67214  Y 117822
X -75400  Y 114700
X -78700  Y 112900
X -76200  Y 112600
X -78900  Y 110600
X -75419  Y 98534
X -72201  Y 92683
X -71100  Y 89900
X -74283  Y 88146
X -71200  Y 86500
X -71000  Y 83100
X -66200  Y 79600
X -71000  Y 79600
X -71100  Y 76000
X -66100  Y 76000
X -71100  Y 72500
X -71100  Y 68800
X -70441  Y 65554
X -67000  Y 64652
X -73000  Y 62000
X -82758  Y 60472
X -71400  Y 60300
X -78523  Y 59017
X -80313  Y 57244
X -83700  Y 40600
X -83700  Y 38100
X -79209  Y 38062
X -77000  Y 38013
X -74139  Y 38005
X -70732  Y 35866
X -62600  Y 35100
X -72833  Y 34391
X -62700  Y 32800
X -69700  Y 32000
X -76202  Y 26905
X -70819  Y 25854
X -76500  Y 24500
X -72700  Y 24500
X -85300  Y 23300
X -66964  Y 22060
X -81489  Y 14619
X -85016  Y 13859
X -78111  Y 13041
X -75500  Y 13000
X -66974  Y 12950
X -79800  Y 10300
X -66762  Y 9927
X -72000  Y 9500
X -76510  Y 9302
X -85364  Y 8481
X -83700  Y 6200
X -71924  Y 5114
X -76279  Y 2452
X -72100  Y 2100
X -66789  Y 1269
X -76259  Y -1780
X -85795  Y -3540
X -71700  Y -6100
X -66601  Y -6103
X -76244  Y -6458
X -82964  Y -7832
X -73246  Y -11690
X -75644  Y -14056
X -66842  Y -14562
X -84701  Y -17430
X -77033  Y -17492
X -72000  Y -18500
X -76482  Y -21353
X -72389  Y -22775
X -66923  Y -22949
X -76458  Y -26097
X -71872  Y -27842
X -84978  Y -31791
X -66900  Y -32100
X -76583  Y -35352
X -72619  Y -35592
X -85859  Y -37928
X -71932  Y -38842
X -67000  Y -38900
X -77533  Y -41620
X -72262  Y -43036
X -86123  Y -44057
X -75547  Y -45601
X -67000  Y -46700
X -72002  Y -46838
X -82615  Y -50326
X -74626  Y -50633
X -79609  Y -55467
X -75797  Y -56957
X -66639  Y -59585
X -82234  Y -59841
X -73113  Y -61268
X -75993  Y -62932
X -82265  Y -65632
X -66947  Y -66884
X -72800  Y -67500
X -70200  Y -67700
X -75471  Y -73428
X -66302  Y -74212
X -74900  Y -75900
X -83354  Y -76799
X -75700  Y -78100
X -70810  Y -78470
X -65418  Y -81829
X -82654  Y -82411
X -76700  Y -82600
X -74700  Y -84300
X -85325  Y -86939
X -79553  Y -89220
X -69118  Y -90525
X -65760  Y -93017
X -74983  Y -96317
X -65881  Y -96862
X -71935  Y -99300
X -86600  Y -102000
X -69000  Y -102500
X -81999  Y -102722
X -65517  Y -105236
X -78762  Y -106418
X -70000  Y -110000
X -79700  Y -110000
X -65154  Y -110890
X -74300  Y -119100
X -74022  Y -121344
X -68618  Y -124023
X -81223  Y -124352
X -70000  Y -130000
X -80000  Y -130000
X -64647  Y -134308
X -76268  Y -136385
X -67665  Y -136521
X -70000  Y -150000
X -80000  Y -150000
X -82207  Y -155478
X -37045  Y -150013
X -57231  Y -142780
X -54856  Y -126779
X -55176  Y -110863
X -42474  Y -105121
X -55148  Y -102860
X -46186  Y -101719
X -49981  Y -97834
X -54841  Y -96491
X -38160  Y -92851
X -41768  Y -89689
X -53100  Y -86500
X -46101  Y -84596
X -50883  Y -79664
X -45212  Y -78882
X -40125  Y -77215
X -54115  Y -76017
X -45018  Y -73583
X -48432  Y -70358
X -61618  Y -68877
X -53700  Y -68700
X -47600  Y -66700
X -51800  Y -66600
X -43561  Y -65537
X -49500  Y -65200
X -56871  Y -62136
X -51800  Y -61900
X -41600  Y -61600
X -57029  Y -56676
X -47500  Y -54500
X -41842  Y -52443
X -48514  Y -50863
X -48200  Y -47600
X -41875  Y -47247
X -56900  Y -45000
X -48284  Y -42650
X -57000  Y -37200
X -48599  Y -31549
X -37063  Y -29470
X -48627  Y -26452
X -57000  Y -20100
X -41414  Y -18288
X -48548  Y -15594
X -57171  Y -11609
X -57087  Y -5599
X -41228  Y 3212
X -48543  Y 4183
X -57123  Y 4213
X -57083  Y 9900
X -48661  Y 11074
X -56962  Y 13032
X -48431  Y 14285
X -37356  Y 17255
X -37943  Y 19398
X -48890  Y 21510
X -51400  Y 21700
X -54300  Y 21900
X -37104  Y 24558
X -52900  Y 29738
X -37937  Y 31400
X -60300  Y 32800
X -50100  Y 39300
X -45100  Y 40700
X -61600  Y 60000
X -61800  Y 63900
X -51142  Y 65242
X -45836  Y 65393
X -56851  Y 67000
X -61400  Y 67000
X -40878  Y 68136
X -38384  Y 68644
X -46517  Y 70328
X -61500  Y 70600
X -51200  Y 72200
X -61500  Y 74300
X -56900  Y 74300
X -48400  Y 75100
X -38606  Y 77365
X -56909  Y 77890
X -61500  Y 77900
X -39200  Y 80500
X -61300  Y 81400
X -56900  Y 81400
X -50636  Y 82041
X -38890  Y 83031
X -61300  Y 84800
X -51162  Y 84847
X -38822  Y 87384
X -51881  Y 88193
X -61100  Y 88200
